cycle,send_rate,sent,service_rate,serviced,sender_outstanding,noc_outstanding,receiver_queue,arrival_noc,arrival_receiver,response_noc,response_sender,raw_throttle,delayed_throttle,queue_over_capacity
157,2.9578497244909796,2.9578497244909796,3.0,2.9575250133703275,130.109860450867,65.061368354398,0.0,2.9581862279300846,2.9575250133703275,2.9557351736253237,2.955503049075012,False,False,False
158,2.9578027909826603,2.9578027909826603,3.0,2.9576592633087713,130.11223096960595,65.06369759758137,0.0,2.958180438036075,2.9576592633087713,2.955851194852714,2.9554322722437036,False,False,False
159,2.957755380607881,2.957755380607881,3.0,2.9577751656910483,130.1146042249478,65.06588492570705,0.0,2.9581676092872375,2.9577751656910483,2.955980281161558,2.9553821252660173,False,False,False
160,2.957707915501044,2.957707915501044,3.0,2.957874000070496,130.1169603291903,65.06791156763985,0.0,2.95814850547291,2.957874000070496,2.9561218635401074,2.9553518112585415,False,False,False
161,2.957660793416194,2.957660793416194,3.0,2.95795699017032,130.11928056564523,65.06976003017682,0.0,2.958123853048018,2.95795699017032,2.9562753905110504,2.955340556961258,False,False,False
162,2.9576143886870954,2.9576143886870954,3.0,2.958025305844716,130.12154734222096,65.07141404503197,0.0,2.958094342512897,2.958025305844716,2.9564403276577393,2.955347612111362,False,False,False
163,2.9575690531555807,2.9575690531555807,3.0,2.9580800649790886,130.12374414654388,65.07285851761864,0.0,2.9580606297490264,2.9580800649790886,2.9566161571623564,2.9553722488326786,False,False,False
164,2.9575251170691224,2.9575251170691224,3.0,2.95812233533111,130.1258555025727,65.07407947757487,0.0,2.9580233373119507,2.95812233533111,2.956802377355726,2.955413761040297,False,False,False
165,2.9574828899485457,2.9574828899485457,3.0,2.958153136314313,130.12786692866118,65.07506403097901,0.0,2.9579830556826376,2.958153136314313,2.9569985022784953,2.9554714638600785,False,False,False
166,2.9574426614267764,2.9574426614267764,3.0,2.958173440725884,130.1297648970253,65.0758083142041,0.0,2.9579403444785077,2.958173440725884,2.9571960612534114,2.9555446930626523,False,False,False
167,2.957404702059494,2.957404702059494,3.0,2.9581841764202585,130.13153679457324,65.07633296936098,0.0,2.957895733625307,2.9581841764202585,2.9573710784684204,2.9556328045115787,False,False,False
168,2.9573692641085354,2.9573692641085354,3.0,2.9581862279300846,130.13317088505644,65.07665768048163,0.0,2.9578497244909796,2.9581862279300846,2.9575250133703275,2.9557351736253237,False,False,False
169,2.957336582298871,2.957336582298871,3.0,2.958180438036075,130.13465627250258,65.07680120815552,0.0,2.9578027909826603,2.958180438036075,2.9576592633087713,2.955851194852714,False,False,False
170,2.9573068745499484,2.9573068745499484,3.0,2.9581676092872375,130.13598286589098,65.07678142307235,0.0,2.957755380607881,2.9581676092872375,2.9577751656910483,2.955980281161558,False,False,False
171,2.9572803426821803,2.9572803426821803,3.0,2.95814850547291,130.13714134503303,65.0766153385029,0.0,2.957707915501044,2.95814850547291,2.957874000070496,2.9561218635401074,False,False,False
172,2.9572571730993396,2.9572571730993396,3.0,2.958123853048018,130.13812312762133,65.07631914174878,0.0,2.957660793416194,2.958123853048018,2.95795699017032,2.9562753905110504,False,False,False
173,2.9572375374475737,2.9572375374475737,3.0,2.958094342512897,130.13892033741118,65.07590822459116,0.0,2.9576143886870954,2.958094342512897,2.958025305844716,2.9564403276577393,False,False,False
174,2.9572215932517762,2.9572215932517762,3.0,2.9580606297490264,130.1395257735006,65.07539721276765,0.0,2.9575690531555807,2.9580606297490264,2.9580800649790886,2.9566161571623564,False,False,False
175,2.9572094845299883,2.9572094845299883,3.0,2.9580233373119507,130.13993288067485,65.07479999450567,0.0,2.9575251170691224,2.9580233373119507,2.95812233533111,2.956802377355726,False,False,False
176,2.957201342386503,2.957201342386503,3.0,2.9579830556826376,130.14013572078284,65.07412974813991,0.0,2.9574828899485457,2.9579830556826376,2.958153136314313,2.9569985022784953,False,False,False
177,2.957197285584343,2.957197285584343,3.0,2.9579403444785077,130.1401369451138,65.0733989688408,0.0,2.9574426614267764,2.9579403444785077,2.958173440725884,2.9571960612534114,False,False,False
178,2.957197261097724,2.957197261097724,3.0,2.957895733625307,130.1399631277431,65.07261949448004,0.0,2.957404702059494,2.957895733625307,2.9581841764202585,2.9573710784684204,False,False,False
179,2.957200737445138,2.957200737445138,3.0,2.9578497244909796,130.13963885181792,65.07180253065849,0.0,2.9573692641085354,2.9578497244909796,2.9581862279300846,2.9575250133703275,False,False,False
180,2.9572072229636417,2.9572072229636417,3.0,2.9578027909826603,130.13918681147277,65.07095867492127,0.0,2.957336582298871,2.9578027909826603,2.958180438036075,2.9576592633087713,False,False,False
181,2.957216263770545,2.957216263770545,3.0,2.957755380607881,130.13862790955224,65.07009794018397,0.0,2.9573068745499484,2.957755380607881,2.9581676092872375,2.9577751656910483,False,False,False
182,2.9572274418089552,2.9572274418089552,3.0,2.957707915501044,130.1379813512907,65.06922977739325,0.0,2.9572803426821803,2.957707915501044,2.95814850547291,2.957874000070496,False,False,False
183,2.957240372974186,2.957240372974186,3.0,2.957660793416194,130.13726473409457,65.06836309744456,0.0,2.9572571730993396,2.957660793416194,2.958123853048018,2.95795699017032,False,False,False
184,2.9572547053181086,2.9572547053181086,3.0,2.9576143886870954,130.13649413356796,65.06750629237924,0.0,2.9572375374475737,2.9576143886870954,2.958094342512897,2.958025305844716,False,False,False
185,2.957270117328641,2.957270117328641,3.0,2.9575690531555807,130.1356841859175,65.06666725588198,0.0,2.9572215932517762,2.9575690531555807,2.9580606297490264,2.9580800649790886,False,False,False
186,2.9572863162816496,2.9572863162816496,3.0,2.9575251170691224,130.13484816686807,65.06585340310001,0.0,2.9572094845299883,2.9575251170691224,2.9580233373119507,2.95812233533111,False,False,False
187,2.9573030366626387,2.9573030366626387,3.0,2.9574828899485457,130.1339980672164,65.06507168980387,0.0,2.957201342386503,2.9574828899485457,2.9579830556826376,2.958153136314313,False,False,False
188,2.957320038655672,2.957320038655672,3.0,2.9574426614267764,130.13314466514618,65.06432863090971,0.0,2.957197285584343,2.9574426614267764,2.9579403444785077,2.958173440725884,False,False,False
189,2.9573371066970764,2.9573371066970764,3.0,2.957404702059494,130.132297595423,65.06363015838213,0.0,2.957197261097724,2.957404702059494,2.957895733625307,2.9581841764202585,False,False,False
