cycle,send_rate,sent,service_rate,serviced,sender_outstanding,noc_outstanding,receiver_queue,arrival_noc,arrival_receiver,response_noc,response_sender,raw_throttle,delayed_throttle,queue_over_capacity
0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
1,3.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
2,3.0,3.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
3,3.0,3.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
4,3.0,3.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
5,3.0,3.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
6,3.0,3.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
7,3.0,3.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
8,3.0,3.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
9,3.0,3.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
10,3.0,3.0,3.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
11,3.0,3.0,3.0,0.0,36.0,3.0,0.0,3.0,0.0,0.0,0.0,False,False,False
12,3.0,3.0,3.0,0.0,39.0,6.0,0.0,3.0,0.0,0.0,0.0,False,False,False
13,3.0,3.0,3.0,0.0,42.0,9.0,0.0,3.0,0.0,0.0,0.0,False,False,False
14,3.0,3.0,3.0,0.0,45.0,12.0,0.0,3.0,0.0,0.0,0.0,False,False,False
15,3.0,3.0,3.0,0.0,48.0,15.0,0.0,3.0,0.0,0.0,0.0,False,False,False
16,3.0,3.0,3.0,0.0,51.0,18.0,0.0,3.0,0.0,0.0,0.0,False,False,False
17,3.0,3.0,3.0,0.0,54.0,21.0,0.0,3.0,0.0,0.0,0.0,False,False,False
18,3.0,3.0,3.0,0.0,57.0,24.0,0.0,3.0,0.0,0.0,0.0,False,False,False
19,3.0,3.0,3.0,0.0,60.0,27.0,0.0,3.0,0.0,0.0,0.0,False,False,False
20,3.0,3.0,3.0,0.0,63.0,30.0,0.0,3.0,0.0,0.0,0.0,False,False,False
21,3.0,3.0,3.0,0.0,66.0,33.0,0.0,3.0,0.0,0.0,0.0,False,False,False
22,3.0,3.0,3.0,3.0,69.0,36.0,0.0,3.0,3.0,0.0,0.0,False,False,False
23,3.0,3.0,3.0,3.0,72.0,39.0,0.0,3.0,3.0,0.0,0.0,False,False,False
24,3.0,3.0,3.0,3.0,75.0,42.0,0.0,3.0,3.0,0.0,0.0,False,False,False
25,3.0,3.0,3.0,3.0,78.0,45.0,0.0,3.0,3.0,0.0,0.0,False,False,False
26,3.0,3.0,3.0,3.0,81.0,48.0,0.0,3.0,3.0,0.0,0.0,False,False,False
27,3.0,3.0,3.0,3.0,84.0,51.0,0.0,3.0,3.0,0.0,0.0,False,False,False
28,3.0,3.0,3.0,3.0,87.0,54.0,0.0,3.0,3.0,0.0,0.0,False,False,False
29,3.0,3.0,3.0,3.0,90.0,57.0,0.0,3.0,3.0,0.0,0.0,False,False,False
30,3.0,3.0,3.0,3.0,93.0,60.0,0.0,3.0,3.0,0.0,0.0,False,False,False
