controller,controller_kind,delayed_throttle_ratio,idle_ratio,max_burst_period,max_commanded_bandwidth,max_noc_outstanding,max_noc_queue,max_queue,max_sender_noc_inflight,max_sender_noc_os_gap,max_sender_outstanding,mean_commanded_bandwidth,mean_noc_queue,mean_queue,mean_sender_noc_inflight,mean_sender_noc_os_gap,min_positive_commanded_bandwidth,noc_overshoot,noc_overshoot_pct,noc_queue_capacity_reqs,noc_queue_over_capacity_cycles,noc_settling_time,offered_load,offered_reqs_per_cycle,queue_capacity,queue_over_capacity_cycles,raw_throttle_ratio,send_rate_settle_to_receiver_time,sender_backpressure_cycles,sender_backpressure_ratio,sender_inflight_over_capacity_cycles,sender_noc_inflight_capacity_reqs,sender_overshoot,sender_overshoot_pct,sender_settling_time,strategy,tail_noc_variance,tail_queue_delta,tail_queue_variance,tail_sender_variance,throughput,throughput_reqs_per_cycle,total_cycles,total_sent,total_sent_bytes,total_sent_reqs,total_serviced,total_serviced_bytes,total_serviced_reqs
open_loop,open,0.0,0.0,176.0,2.909090909090909,397.45454545450036,11.54545454545454,363.3636363636359,13.636363636363681,30.636363636364017,424.72727272721545,2.909090909090909,8.65259242424242,263.6020045454524,13.619431818181862,26.572948484840776,2.909090909090909,341.45454545450036,6.097402597401792,128.0,0.0,46617.0,2.9090909090888175,0.09090909090902555,,0.0,0.0,6000.0,0.0,0.0,0.0,256.0,328.72727272721545,3.4242424242418275,46127.0,No Control,0.2483471074377131,0.5454545454545041,2.9862945785124007,0.2474121983501324,2.7744,0.0867,60000.0,174545.45454532906,174545.45454532906,5454.545454541533,166464.0,166464.0,5202.0
noc_watermark_A56_D44,noc,0.06575,0.06575,176.0,2.909090909090909,67.63636363637545,11.54545454545454,55.454545454545354,13.636363636363681,31.636363636364024,77.45454545455803,2.7178181818181817,8.082313636363631,6.832989393939364,12.72284090909095,25.3159242424246,2.909090909090909,11.63636363637545,0.20779220779241875,128.0,0.0,323.0,2.7178181818162646,0.08493181818175827,,0.0,0.06575,594.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,NOC Watermark,0.24959401652866253,0.5454545454545183,2.4614305785123984,0.426588561983649,2.6976,0.0843,60000.0,163069.09090897586,163069.09090897586,5095.909090905496,161856.0,161856.0,5058.0
sender_outstanding_A96,sender,0.060283333333333335,0.060283333333333335,176.0,2.909090909090909,87.0,11.54545454545454,74.9999999999911,13.636363636363681,30.636363636364017,96.0,2.733721212121212,8.104936363636341,11.760807575754304,12.79738636363637,25.465469696970025,2.909090909090909,31.0,0.5535714285714286,128.0,0.0,9881.0,2.7337212121192755,0.08542878787872736,,0.0,0.060283333333333335,6000.0,0.0,0.0,0.0,256.0,0.0,0.0,9199.0,Sender Outstanding,0.2616783801650342,2.5454545454545556,2.6005574876033046,0.3641129256198783,2.7125333333333335,0.08476666666666667,60000.0,164023.27272715652,164023.27272715652,5125.727272723641,162752.0,162752.0,5086.0
smith_pi_delayed_noc_outstanding_A56_P28_I0.02_D0_pred44,smith_pi,0.10301666666666667,0.0,612.0,2.909090909090909,72.46374616673555,11.54545454545454,60.27514574265615,13.636363636363699,31.63636363636366,81.84502658043867,2.7239002714506446,8.099622933534956,6.800509084376386,12.751350704243126,25.376867370909807,0.8366013071895425,16.463746166735547,0.29399546726313475,128.0,0.0,3929.0,2.723900271448749,0.0851218834827734,,0.0,0.10301666666666667,782.0,0.0,0.0,0.0,256.0,0.0,0.0,3343.0,Smith PI,2.3240721983472254,-0.4545454545454817,0.8159818512396683,2.5249743801652262,2.7056,0.08455,60000.0,163434.01628692492,163434.01628692492,5107.313008966404,162336.0,162336.0,5073.0
