controller,delayed_throttle_ratio,idle_ratio,max_noc_outstanding,max_queue,max_sender_outstanding,mean_queue,noc_overshoot,noc_overshoot_pct,noc_settling_time,offered_load,queue_capacity,queue_over_capacity_cycles,raw_throttle_ratio,sender_overshoot,sender_overshoot_pct,sender_settling_time,tail_noc_variance,tail_queue_delta,tail_queue_variance,tail_sender_variance,throughput,total_cycles,total_sent,total_serviced
sender_outstanding_A128,0.25066666666666665,0.25066666666666665,108.0,86.0,130.0,28.267666666666667,0.0,0.0,29.0,2.248,,0.0,0.25066666666666665,2.0,0.015625,0.0,8.583084,0.0,0.0,0.378576,2.226,3000.0,6744.0,6678.0
noc_watermark_A128_D44,0.22166666666666668,0.22166666666666668,240.0,218.0,262.0,46.266333333333336,112.0,0.875,7.0,2.335,,0.0,0.22166666666666668,134.0,1.046875,18.0,0.0,0.0,0.0,0.0,2.3113333333333332,3000.0,7005.0,6934.0
