controller,controller_kind,delayed_throttle_ratio,idle_ratio,max_burst_period,max_commanded_bandwidth,max_noc_outstanding,max_noc_queue,max_queue,max_sender_noc_inflight,max_sender_noc_os_gap,max_sender_outstanding,mean_commanded_bandwidth,mean_noc_queue,mean_queue,mean_sender_noc_inflight,mean_sender_noc_os_gap,min_positive_commanded_bandwidth,noc_overshoot,noc_overshoot_pct,noc_queue_capacity_reqs,noc_queue_over_capacity_cycles,noc_settling_time,offered_load,offered_reqs_per_cycle,queue_capacity,queue_over_capacity_cycles,raw_throttle_ratio,send_rate_settle_to_receiver_time,sender_backpressure_cycles,sender_backpressure_ratio,sender_inflight_over_capacity_cycles,sender_noc_inflight_capacity_reqs,sender_overshoot,sender_overshoot_pct,sender_settling_time,strategy,tail_noc_variance,tail_queue_delta,tail_queue_variance,tail_sender_variance,throughput,throughput_reqs_per_cycle,total_cycles,total_sent,total_sent_bytes,total_sent_reqs,total_serviced,total_serviced_bytes,total_serviced_reqs
open_loop,open,0.0,0.9090666666666667,176.0,2.909090909090909,410.0,16.0,375.0,16.0,31.0,438.0,2.909090909090909,8.659583333333334,269.8593833333333,13.63975,26.595766666666666,2.909090909090909,354.0,6.321428571428571,128.0,0.0,46851.0,2.909866666666667,0.09093333333333334,,0.0,0.0,6000.0,0.0,0.0,0.0,256.0,342.0,3.5625,46521.0,无流控,17.422444,2.0,18.204076,17.926636,2.7749333333333333,0.08671666666666666,60000.0,174592.0,174592.0,5456.0,166496.0,166496.0,5203.0
noc_watermark_A56_D44,noc,0.08063333333333333,0.9149333333333334,176.0,2.909090909090909,75.0,16.0,62.0,16.0,31.0,85.0,2.674521212121212,8.1224,12.9497,12.7428,25.339383333333334,2.909090909090909,19.0,0.3392857142857143,128.0,0.0,,2.7221333333333333,0.08506666666666667,,0.0,0.08063333333333333,530.0,0.0,0.0,0.0,256.0,0.0,0.0,226.0,NOC Watermark,18.147776,4.0,19.171404,18.194444,2.6976,0.0843,60000.0,163328.0,163328.0,5104.0,161856.0,161856.0,5058.0
sender_outstanding_A96,sender,0.13086666666666666,0.9144,176.0,2.909090909090909,87.0,16.0,75.0,16.0,31.0,96.0,2.528387878787879,8.145716666666667,17.628633333333333,12.8188,25.492316666666667,2.909090909090909,31.0,0.5535714285714286,128.0,0.0,,2.7392,0.0856,,0.0,0.13086666666666666,6000.0,0.0,0.0,0.0,256.0,0.0,0.0,9647.0,Sender Outstanding,18.1024,4.0,24.178764,20.729164,2.7136,0.0848,60000.0,164352.0,164352.0,5136.0,162816.0,162816.0,5088.0
smith_pi_sender_or_delayed_noc_error_A0_P28_D0_pred44,smith_pi,0.09955,0.9149333333333334,1600.0,2.909090909090909,96.0,16.0,84.0,16.0,31.0,105.0,2.708678041886224,8.0936,14.747033333333333,12.7444,25.340983333333334,0.32,40.0,0.7142857142857143,128.0,0.0,,2.7221333333333333,0.08506666666666667,,0.0,0.09955,882.0,0.0,0.0,0.0,256.0,9.0,0.09375,181.0,Smith PI,17.781536,4.0,25.111884,18.143436,2.6976,0.0843,60000.0,163328.0,163328.0,5104.0,161856.0,161856.0,5058.0
